id,Start Time,End Time,Notes,Approximate Duration (Minutes)
2,11:20PM 01-24-2020,12:08AM 01-25-2020,,48
1,1:40AM 01-25-2020,7:20AM 01-25-2020,,340
3,8:30AM 01-25-2020,12:00PM 01-25-2020,,210
4,3:25PM 01-25-2020,6:42PM 01-25-2020,,197
5,8:00PM 01-25-2020,8:45PM 01-25-2020,,45
6,9:30PM 01-25-2020,11:42PM 01-25-2020,,132
7,12:40AM 01-26-2020,2:21AM 01-26-2020,,101
8,3:35AM 01-26-2020,4:53AM 01-26-2020,,77
9,5:40AM 01-26-2020,6:19AM 01-26-2020,,39
10,9:30AM 01-26-2020,1:13PM 01-26-2020,,223
11,3:40PM 01-26-2020,6:37PM 01-26-2020,,178
12,10:30PM 01-26-2020,10:45PM 01-26-2020,,14
13,12:45AM 01-27-2020,3:28AM 01-27-2020,,163
14,4:16AM 01-27-2020,6:17AM 01-27-2020,,121
15,8:26AM 01-27-2020,9:30AM 01-27-2020,,64
16,10:15AM 01-27-2020,1:00PM 01-27-2020,,165
17,3:40PM 01-27-2020,4:15PM 01-27-2020,,36
18,5:30PM 01-27-2020,7:04PM 01-27-2020,,94
19,7:40PM 01-27-2020,9:35PM 01-27-2020,,115
20,11:00PM 01-27-2020,11:49PM 01-27-2020,,49
22,2:10AM 01-28-2020,4:34AM 01-28-2020,,144
23,5:53AM 01-28-2020,8:07AM 01-28-2020,,135
24,12:41PM 01-28-2020,3:15PM 01-28-2020,,154
25,4:45PM 01-28-2020,6:45PM 01-28-2020,,120
26,9:21PM 01-28-2020,11:00PM 01-28-2020,,99
27,11:55PM 01-28-2020,1:23AM 01-29-2020,,88
29,2:45AM 01-29-2020,3:50AM 01-29-2020,,65
30,4:42AM 01-29-2020,6:45AM 01-29-2020,,123
31,11:30AM 01-29-2020,2:35PM 01-29-2020,,184
32,3:35PM 01-29-2020,4:50PM 01-29-2020,,75
33,5:35PM 01-29-2020,7:58PM 01-29-2020,,143
34,10:09PM 01-29-2020,12:08AM 01-30-2020,,119
35,12:27AM 01-30-2020,1:30AM 01-30-2020,,63
36,2:25AM 01-30-2020,4:35AM 01-30-2020,,131
37,5:19AM 01-30-2020,6:11AM 01-30-2020,,52
38,6:19AM 01-30-2020,7:05AM 01-30-2020,,46
39,9:45AM 01-30-2020,12:10PM 01-30-2020,,145
40,3:45PM 01-30-2020,5:25PM 01-30-2020,,100
41,8:45PM 01-30-2020,9:40PM 01-30-2020,,55
42,10:30PM 01-30-2020,10:59PM 01-30-2020,,29
43,11:11PM 01-30-2020,11:45PM 01-30-2020,,34
44,12:15AM 01-31-2020,12:53AM 01-31-2020,,38
45,2:30AM 01-31-2020,5:00AM 01-31-2020,,150
46,6:05AM 01-31-2020,7:55AM 01-31-2020,,110
47,10:25AM 01-31-2020,12:45PM 01-31-2020,,139
48,3:30PM 01-31-2020,5:30PM 01-31-2020,,120
49,7:15PM 01-31-2020,8:35PM 01-31-2020,,80
50,9:42PM 01-31-2020,10:40PM 01-31-2020,,57
51,11:53PM 01-31-2020,1:24AM 02-01-2020,,91
52,3:00AM 02-01-2020,5:09AM 02-01-2020,,129
53,6:00AM 02-01-2020,7:00AM 02-01-2020,,59
54,9:00AM 02-01-2020,11:05AM 02-01-2020,,125
55,12:30PM 02-01-2020,3:14PM 02-01-2020,,164
56,6:20PM 02-01-2020,7:58PM 02-01-2020,,98
57,8:36PM 02-01-2020,10:44PM 02-01-2020,,129
58,11:19PM 02-01-2020,1:28AM 02-02-2020,,128
59,1:40AM 02-02-2020,2:39AM 02-02-2020,,59
60,3:00AM 02-02-2020,4:23AM 02-02-2020,,83
61,5:22AM 02-02-2020,7:55AM 02-02-2020,,152
62,9:55AM 02-02-2020,11:52AM 02-02-2020,,117
63,2:35PM 02-02-2020,6:14PM 02-02-2020,,219
64,10:03PM 02-02-2020,10:28PM 02-02-2020,,24
65,11:00PM 02-02-2020,11:20PM 02-02-2020,,20
66,12:30AM 02-03-2020,2:40AM 02-03-2020,,130
67,4:15AM 02-03-2020,6:25AM 02-03-2020,,130
68,11:40AM 02-03-2020,2:07PM 02-03-2020,,147
69,4:15PM 02-03-2020,6:38PM 02-03-2020,,143
70,8:00PM 02-03-2020,9:30PM 02-03-2020,,90
71,10:30PM 02-03-2020,12:33AM 02-04-2020,,122
72,1:00AM 02-04-2020,3:14AM 02-04-2020,,134
73,4:00AM 02-04-2020,7:21AM 02-04-2020,,201
74,11:11AM 02-04-2020,11:55AM 02-04-2020,,44
75,2:35PM 02-04-2020,4:52PM 02-04-2020,,138
76,5:50PM 02-04-2020,8:55PM 02-04-2020,,185
77,10:00PM 02-04-2020,12:20AM 02-05-2020,,140
78,1:45AM 02-05-2020,4:33AM 02-05-2020,,167
79,5:15AM 02-05-2020,7:01AM 02-05-2020,,107
80,10:15AM 02-05-2020,11:49AM 02-05-2020,,94
81,12:25PM 02-05-2020,2:05PM 02-05-2020,,100
82,4:10PM 02-05-2020,6:00PM 02-05-2020,,110
83,7:05PM 02-05-2020,9:01PM 02-05-2020,,116
84,11:00PM 02-05-2020,12:38AM 02-06-2020,,97
85,1:45AM 02-06-2020,3:05AM 02-06-2020,,80
86,3:30AM 02-06-2020,5:00AM 02-06-2020,,90
87,5:45AM 02-06-2020,6:20AM 02-06-2020,,35
88,9:40AM 02-06-2020,10:10AM 02-06-2020,,31
89,10:30AM 02-06-2020,1:18PM 02-06-2020,,168
90,3:00PM 02-06-2020,3:23PM 02-06-2020,,23
91,6:05PM 02-06-2020,6:48PM 02-06-2020,,43
92,9:30PM 02-06-2020,12:21AM 02-07-2020,,171
93,1:30AM 02-07-2020,3:50AM 02-07-2020,,140
94,6:00AM 02-07-2020,6:30AM 02-07-2020,,30
95,8:25AM 02-07-2020,8:55AM 02-07-2020,,30
96,9:10AM 02-07-2020,11:10AM 02-07-2020,,120
97,2:50PM 02-07-2020,4:52PM 02-07-2020,,123
98,7:08PM 02-07-2020,10:25PM 02-07-2020,,197
99,10:50PM 02-07-2020,11:26PM 02-07-2020,,36
100,11:50PM 02-07-2020,1:26AM 02-08-2020,,96
101,1:47AM 02-08-2020,2:22AM 02-08-2020,,35
102,3:00AM 02-08-2020,5:37AM 02-08-2020,,158
103,6:27AM 02-08-2020,8:45AM 02-08-2020,,138
104,12:55PM 02-08-2020,4:20PM 02-08-2020,,205
105,6:00PM 02-08-2020,7:47PM 02-08-2020,,107
106,9:05PM 02-08-2020,9:41PM 02-08-2020,,36
107,12:00AM 02-09-2020,12:20AM 02-09-2020,,20
108,12:43AM 02-09-2020,3:11AM 02-09-2020,,148
109,3:40AM 02-09-2020,4:20AM 02-09-2020,,40
110,4:50AM 02-09-2020,7:28AM 02-09-2020,,158
111,10:15AM 02-09-2020,12:20PM 02-09-2020,,126
112,12:55PM 02-09-2020,1:50PM 02-09-2020,,55
113,2:55PM 02-09-2020,3:42PM 02-09-2020,,47
115,8:06PM 02-09-2020,10:57PM 02-09-2020,,171
116,12:15AM 02-10-2020,2:35AM 02-10-2020,,140
117,3:20AM 02-10-2020,4:30AM 02-10-2020,,70
118,4:55AM 02-10-2020,6:03AM 02-10-2020,,68
119,6:40AM 02-10-2020,9:09AM 02-10-2020,,150
120,3:15PM 02-10-2020,6:35PM 02-10-2020,,200
121,8:30PM 02-10-2020,10:28PM 02-10-2020,,118
122,11:20PM 02-10-2020,12:25AM 02-11-2020,,65
123,1:00AM 02-11-2020,2:55AM 02-11-2020,,115
124,3:44AM 02-11-2020,4:50AM 02-11-2020,,66
125,5:35AM 02-11-2020,6:25AM 02-11-2020,,50
126,11:08AM 02-11-2020,1:06PM 02-11-2020,,118
128,5:40PM 02-11-2020,7:41PM 02-11-2020,,121
129,8:15PM 02-11-2020,11:00PM 02-11-2020,,165
130,1:15AM 02-12-2020,3:23AM 02-12-2020,,127
131,6:00AM 02-12-2020,7:55AM 02-12-2020,Together on floor,115
132,11:15AM 02-12-2020,12:10PM 02-12-2020,,55
133,4:00PM 02-12-2020,6:00PM 02-12-2020,,120
134,7:50PM 02-12-2020,9:17PM 02-12-2020,,87
135,10:16PM 02-12-2020,1:00AM 02-13-2020,,164
136,1:45AM 02-13-2020,4:20AM 02-13-2020,,155
137,5:00AM 02-13-2020,5:30AM 02-13-2020,,30
138,6:00AM 02-13-2020,7:25AM 02-13-2020,,84
139,8:40AM 02-13-2020,10:35AM 02-13-2020,,115
140,1:45PM 02-13-2020,5:25PM 02-13-2020,,220
141,7:55PM 02-13-2020,12:50AM 02-14-2020,,295
142,1:50AM 02-14-2020,4:20AM 02-14-2020,,150
143,5:15AM 02-14-2020,6:30AM 02-14-2020,,75
144,7:10AM 02-14-2020,8:30AM 02-14-2020,,80
145,10:40AM 02-14-2020,1:25PM 02-14-2020,,165
146,4:10PM 02-14-2020,4:40PM 02-14-2020,,29
147,7:10PM 02-14-2020,8:50PM 02-14-2020,,100
148,9:47PM 02-14-2020,2:47AM 02-15-2020,,300
149,4:30AM 02-15-2020,6:43AM 02-15-2020,Guest bed,132
150,1:10PM 02-15-2020,4:10PM 02-15-2020,Chest,180
151,7:40PM 02-15-2020,11:40PM 02-15-2020,,240
152,12:30AM 02-16-2020,3:15AM 02-16-2020,,165
153,4:00AM 02-16-2020,4:45AM 02-16-2020,,45
154,5:10AM 02-16-2020,6:20AM 02-16-2020,,70
155,10:15AM 02-16-2020,11:50AM 02-16-2020,,95
156,1:00PM 02-16-2020,2:50PM 02-16-2020,,110
157,6:00PM 02-16-2020,7:25PM 02-16-2020,,85
158,8:20PM 02-16-2020,12:00AM 02-17-2020,,220
159,12:45AM 02-17-2020,3:25AM 02-17-2020,,161
160,4:30AM 02-17-2020,5:50AM 02-17-2020,,80
161,6:45AM 02-17-2020,7:30AM 02-17-2020,,45
162,10:45AM 02-17-2020,12:50PM 02-17-2020,,125
163,3:25PM 02-17-2020,4:21PM 02-17-2020,,56
164,8:15PM 02-17-2020,11:05PM 02-17-2020,,169
165,11:45PM 02-17-2020,1:55AM 02-18-2020,,130
166,2:30AM 02-18-2020,4:00AM 02-18-2020,,90
167,4:40AM 02-18-2020,5:10AM 02-18-2020,,30
168,5:40AM 02-18-2020,7:12AM 02-18-2020,Guest bed,92
169,1:30PM 02-18-2020,4:03PM 02-18-2020,,153
170,5:20PM 02-18-2020,6:59PM 02-18-2020,,98
171,9:30PM 02-18-2020,12:00AM 02-19-2020,,150
172,12:30AM 02-19-2020,3:00AM 02-19-2020,,149
173,4:00AM 02-19-2020,5:30AM 02-19-2020,,90
174,6:15AM 02-19-2020,7:00AM 02-19-2020,,45
175,10:20AM 02-19-2020,10:50AM 02-19-2020,,30
176,1:05PM 02-19-2020,3:25PM 02-19-2020,,140
177,6:45PM 02-19-2020,8:30PM 02-19-2020,,105
178,9:15PM 02-19-2020,11:50PM 02-19-2020,,155
179,12:40AM 02-20-2020,3:20AM 02-20-2020,,160
180,4:35AM 02-20-2020,6:55AM 02-20-2020,,140
181,10:45AM 02-20-2020,11:59AM 02-20-2020,,74
182,12:50PM 02-20-2020,2:58PM 02-20-2020,,128
183,8:15PM 02-20-2020,1:15AM 02-21-2020,,300
184,2:25AM 02-21-2020,5:28AM 02-21-2020,,183
186,9:15AM 02-21-2020,9:45AM 02-21-2020,,30
185,11:20AM 02-21-2020,1:22PM 02-21-2020,,123
187,5:45PM 02-21-2020,8:20PM 02-21-2020,,155
188,9:00PM 02-21-2020,12:01AM 02-22-2020,,181
189,1:30AM 02-22-2020,4:00AM 02-22-2020,,150
190,4:30AM 02-22-2020,5:30AM 02-22-2020,,60
191,9:00AM 02-22-2020,10:35AM 02-22-2020,,95
